mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,0,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,0,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,0,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,0,0,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,0,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,0,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,0,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
global,0,1,16,0,none,3,6,65,30,0,30,30,22,55,82
global,0,1,255,0,none,3,7,76,30,0,30,38,22,55,82
global,0,1,256,0,none,3,7,101,27,3,27,37,28,73,154
global,0,1,512,1,no-digits,4,8,140,28,0,28,57,45,126,265
global,0,1,1024,2,no-quote,5,10,86,27,0,27,61,56,123,128
global,0,1,2560,4,builtin-cap,8,18,257,27,1,27,97,73,388,669
global,0,1,4095,6,small-literals,8,24,195,28,1,28,113,89,404,733
global,0,16,16,0,none,3,6,90,29,0,29,37,37,73,154
global,0,16,255,0,none,3,7,91,28,0,28,43,34,79,178
global,0,16,256,0,none,3,7,74,30,0,30,36,22,55,82
global,0,16,512,1,no-digits,4,8,140,28,0,28,57,45,126,265
global,0,16,1024,4,builtin-cap,5,10,111,24,0,24,71,56,142,204
global,0,16,2560,2,no-quote,8,18,170,38,0,38,129,89,297,305
global,0,16,4095,1,no-digits,8,24,225,27,1,27,97,73,388,669
global,0,255,16,0,none,3,6,96,29,1,29,37,37,73,154
global,0,255,255,0,none,3,7,95,28,0,28,43,34,79,178
global,0,255,256,0,none,3,7,86,26,0,26,43,34,67,130
global,0,255,512,0,none,4,8,93,30,0,30,43,29,94,137
global,0,255,1024,1,no-digits,5,10,154,27,0,27,61,86,172,324
global,0,255,2560,4,builtin-cap,8,18,232,26,0,26,113,89,372,605
global,0,255,4095,4,builtin-cap,8,24,183,24,1,24,113,89,340,477
global,0,4096,16,0,none,3,6,76,30,0,30,38,22,55,82
global,0,4096,255,0,none,3,7,85,30,0,30,44,22,55,82
global,0,4096,256,0,none,3,7,104,29,0,29,37,37,73,154
global,0,4096,512,3,letrec-required,4,8,112,51,0,51,81,85,118,177
global,0,4096,1024,2,no-quote,5,10,105,24,0,24,71,56,123,128
global,0,4096,2560,6,small-literals,8,18,235,29,0,29,97,97,388,669
global,0,4096,4095,2,no-quote,8,24,273,29,0,29,97,97,361,353
global,1,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,1,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,1,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,1,0,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,1,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,1,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,1,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
global,1,1,16,0,none,3,6,82,30,0,30,44,22,55,82
global,1,1,255,0,none,3,7,81,26,0,26,43,34,67,130
global,1,1,256,1,no-digits,3,7,99,29,0,29,37,37,73,154
global,1,1,512,0,none,4,8,118,29,0,29,49,49,118,233
global,1,1,1024,2,no-quote,5,10,116,30,1,30,60,36,123,128
global,1,1,2560,7,fold-required,8,18,245,46,0,46,145,225,436,757
global,1,1,4095,4,builtin-cap,8,24,256,26,0,26,89,105,388,669
global,1,16,16,0,none,3,6,101,26,0,26,34,40,73,154
global,1,16,255,0,none,3,7,94,27,0,27,37,28,73,154
global,1,16,256,0,none,3,7,85,26,0,26,43,34,67,130
global,1,16,512,3,letrec-required,4,8,145,54,0,54,81,85,134,241
global,1,16,1024,6,small-literals,5,10,184,28,0,28,71,56,182,364
global,1,16,2560,2,no-quote,8,18,222,33,0,33,127,73,297,305
global,1,16,4095,2,no-quote,8,24,297,27,0,27,97,73,377,353
global,1,255,16,0,none,3,6,79,29,1,29,37,37,73,154
global,1,255,255,0,none,3,7,92,28,0,28,43,34,79,178
global,1,255,256,0,none,3,7,74,30,0,30,38,22,55,82
global,1,255,512,1,no-digits,4,8,129,26,0,26,45,53,118,233
global,1,255,1024,7,fold-required,5,10,133,47,0,47,101,111,172,259
global,1,255,2560,6,small-literals,8,18,215,30,0,30,101,57,340,477
global,1,255,4095,7,fold-required,8,24,200,61,0,61,177,177,388,565
global,1,4096,16,0,none,3,6,81,26,0,26,43,34,67,130
global,1,4096,255,0,none,3,7,84,26,0,26,43,34,67,130
global,1,4096,256,0,none,3,7,82,30,0,30,44,22,55,82
global,1,4096,512,3,letrec-required,4,8,113,51,0,51,81,85,118,177
global,1,4096,1024,1,no-digits,5,10,171,27,0,27,61,46,172,324
global,1,4096,2560,1,no-digits,8,18,226,26,0,26,97,137,388,669
global,1,4096,4095,7,fold-required,8,24,254,59,0,59,177,337,436,757
global,2,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,2,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,2,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,2,0,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,2,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,2,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,2,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
global,2,1,16,0,none,3,6,89,29,0,29,37,37,73,154
global,2,1,255,0,none,3,7,89,29,1,29,37,37,73,154
global,2,1,256,3,letrec-required,3,7,125,56,0,56,61,64,97,208
global,2,1,512,0,none,4,8,126,26,0,26,49,69,118,233
global,2,1,1024,4,builtin-cap,5,10,110,24,0,24,71,56,142,204
global,2,1,2560,6,small-literals,8,18,281,27,0,27,89,105,388,669
global,2,1,4095,7,fold-required,8,24,271,58,0,58,187,161,388,565
global,2,16,16,0,none,3,6,89,29,0,29,37,37,73,154
global,2,16,255,0,none,3,7,80,27,0,27,37,28,73,154
global,2,16,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,2,16,512,3,letrec-required,4,8,137,58,0,58,79,69,118,177
global,2,16,1024,2,no-quote,5,10,106,24,0,24,71,56,123,128
global,2,16,2560,1,no-digits,8,18,256,35,0,35,145,105,420,797
global,2,16,4095,4,builtin-cap,8,24,259,31,0,31,121,121,404,733
global,2,255,16,0,none,3,6,85,26,0,26,43,34,67,130
global,2,255,255,0,none,3,7,80,27,1,27,37,28,73,154
global,2,255,256,5,single-lambda,3,7,91,30,0,30,50,22,55,82
global,2,255,512,1,no-digits,4,8,105,30,0,30,53,29,94,137
global,2,255,1024,2,no-quote,5,10,132,30,2,30,70,36,123,128
global,2,255,2560,1,no-digits,8,18,227,30,0,30,107,57,340,477
global,2,255,4095,6,small-literals,8,24,284,28,0,28,121,121,404,733
global,2,4096,16,0,none,3,6,84,26,0,26,43,34,67,130
global,2,4096,255,0,none,3,7,81,26,0,26,43,34,67,130
global,2,4096,256,1,no-digits,3,7,90,29,0,29,37,37,73,154
global,2,4096,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,2,4096,1024,6,small-literals,5,10,126,30,1,30,60,36,142,204
global,2,4096,2560,2,no-quote,8,18,157,50,0,50,249,305,297,305
global,2,4096,4095,7,fold-required,8,24,193,72,1,72,297,393,388,565
global,3,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,3,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,3,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,3,0,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,3,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,3,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,3,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
global,3,1,16,0,none,3,6,70,30,0,30,34,22,55,82
global,3,1,255,0,none,3,7,108,29,0,29,37,37,73,154
global,3,1,256,5,single-lambda,3,7,92,28,0,28,43,34,79,178
global,3,1,512,1,no-digits,4,8,111,30,1,30,55,29,94,137
global,3,1,1024,2,no-quote,5,10,88,27,0,27,61,56,123,128
global,3,1,2560,4,builtin-cap,8,18,239,32,0,32,127,73,340,477
global,3,1,4095,2,no-quote,8,24,277,29,1,29,97,97,361,353
global,3,16,16,0,none,3,6,80,27,0,27,37,28,73,154
global,3,16,255,0,none,3,7,81,29,0,29,37,37,73,154
global,3,16,256,1,no-digits,3,7,98,29,1,29,37,37,73,154
global,3,16,512,5,single-lambda,4,8,119,26,0,26,49,69,118,233
global,3,16,1024,4,builtin-cap,5,10,145,26,0,26,71,56,162,284
global,3,16,2560,1,no-digits,8,18,250,26,1,26,89,105,388,669
global,3,16,4095,4,builtin-cap,8,24,212,30,0,30,99,57,340,477
global,3,255,16,0,none,3,6,84,26,0,26,43,34,67,130
global,3,255,255,0,none,3,7,92,27,0,27,37,28,73,154
global,3,255,256,5,single-lambda,3,7,107,26,0,26,34,40,73,154
global,3,255,512,0,none,4,8,121,27,0,27,49,69,118,233
global,3,255,1024,7,fold-required,5,10,128,46,0,46,101,111,172,259
global,3,255,2560,6,small-literals,8,18,243,33,0,33,131,73,340,477
global,3,255,4095,6,small-literals,8,24,229,26,0,26,97,137,388,669
global,3,4096,16,0,none,3,6,101,26,0,26,34,40,73,154
global,3,4096,255,0,none,3,7,91,28,1,28,43,34,79,178
global,3,4096,256,0,none,3,7,89,30,0,30,48,22,55,82
global,3,4096,512,3,letrec-required,4,8,145,57,0,57,73,89,142,273
global,3,4096,1024,2,no-quote,5,10,173,29,1,29,61,61,163,158
global,3,4096,2560,4,builtin-cap,8,18,219,27,0,27,97,73,388,669
global,3,4096,4095,6,small-literals,8,24,262,36,0,36,153,73,340,477
global,4,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,4,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,4,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,4,0,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,4,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,4,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,4,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
global,4,1,16,0,none,3,6,85,29,0,29,37,37,73,154
global,4,1,255,0,none,3,7,76,30,0,30,40,22,55,82
global,4,1,256,1,no-digits,3,7,88,29,0,29,37,37,73,154
global,4,1,512,1,no-digits,4,8,142,29,0,29,49,49,118,233
global,4,1,1024,7,fold-required,5,10,190,48,0,48,86,121,202,379
global,4,1,2560,4,builtin-cap,8,18,294,39,0,39,129,249,388,669
global,4,1,4095,6,small-literals,8,24,233,30,1,30,113,57,340,477
global,4,16,16,0,none,3,6,71,30,0,30,36,22,55,82
global,4,16,255,0,none,3,7,82,28,0,28,43,34,79,178
global,4,16,256,0,none,3,7,85,26,0,26,43,34,67,130
global,4,16,512,1,no-digits,4,8,121,29,0,29,49,49,118,233
global,4,16,1024,7,fold-required,5,10,142,50,0,50,91,101,202,379
global,4,16,2560,7,fold-required,8,18,204,47,0,47,161,177,388,565
global,4,16,4095,1,no-digits,8,24,220,27,0,27,97,73,388,669
global,4,255,16,0,none,3,6,98,29,0,29,37,37,73,154
global,4,255,255,0,none,3,7,92,28,0,28,43,34,79,178
global,4,255,256,0,none,3,7,82,30,1,30,42,22,55,82
global,4,255,512,5,single-lambda,4,8,109,27,2,27,49,37,118,233
