commitment_height,reveal_height,strategy,carrier_actor,carrier_key,reveal_producer_actor,reveal_producer_key,sharer_actor,share_keys,commitments_included,reveals_available,reveals_selected,contribution_sum,quality_q,scheduled_subsidy,fees,producer_payout,share_payout_total,min_share_payout,max_share_payout,carrier_payout,total_minted,minted_subsidy,unminted_subsidy,reveal_producer_actor_total,note
31,32,carry-and-reveal-external,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..1,1,1,1,1,1,10000000000,12345,8500012345,1000000000,1000000000,1000000000,500000000,10000012345,10000000000,0,8500012345,H carrier includes; H+1 producer reveals
31,32,carrier-censors-commitments,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..1,0,0,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H omission makes H+1 reveals ineligible
31,32,producer-censors-reveals,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..1,1,1,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H commits exist; H+1 producer omits reveals
31,32,carry-and-reveal-self-controlled,carrier-A,key-1023,producer-B,key-1024,producer-B,keys-1..1,1,1,1,1,1,10000000000,12345,8500012345,1000000000,1000000000,1000000000,500000000,10000012345,10000000000,0,9500012345,H+1 producer controls distinct share keys
31,32,carry-and-reveal-external,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..2,2,2,2,2,2,10000000000,12345,8500012345,1000000000,500000000,500000000,500000000,10000012345,10000000000,0,8500012345,H carrier includes; H+1 producer reveals
31,32,carrier-censors-commitments,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..2,0,0,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H omission makes H+1 reveals ineligible
31,32,producer-censors-reveals,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..2,2,2,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H commits exist; H+1 producer omits reveals
31,32,carry-and-reveal-self-controlled,carrier-A,key-1023,producer-B,key-1024,producer-B,keys-1..2,2,2,2,2,2,10000000000,12345,8500012345,1000000000,500000000,500000000,500000000,10000012345,10000000000,0,9500012345,H+1 producer controls distinct share keys
31,32,carry-and-reveal-external,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..3,3,3,3,3,3,10000000000,12345,8500012346,999999999,333333333,333333333,500000000,10000012345,10000000000,0,8500012346,H carrier includes; H+1 producer reveals
31,32,carrier-censors-commitments,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..3,0,0,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H omission makes H+1 reveals ineligible
31,32,producer-censors-reveals,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..3,3,3,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H commits exist; H+1 producer omits reveals
31,32,carry-and-reveal-self-controlled,carrier-A,key-1023,producer-B,key-1024,producer-B,keys-1..3,3,3,3,3,3,10000000000,12345,8500012346,999999999,333333333,333333333,500000000,10000012345,10000000000,0,9500012345,H+1 producer controls distinct share keys
31,32,carry-and-reveal-external,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..4,4,4,4,4,4,10000000000,12345,8500012345,1000000000,250000000,250000000,500000000,10000012345,10000000000,0,8500012345,H carrier includes; H+1 producer reveals
31,32,carrier-censors-commitments,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..4,0,0,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H omission makes H+1 reveals ineligible
31,32,producer-censors-reveals,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..4,4,4,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H commits exist; H+1 producer omits reveals
31,32,carry-and-reveal-self-controlled,carrier-A,key-1023,producer-B,key-1024,producer-B,keys-1..4,4,4,4,4,4,10000000000,12345,8500012345,1000000000,250000000,250000000,500000000,10000012345,10000000000,0,9500012345,H+1 producer controls distinct share keys
31,32,carry-and-reveal-external,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..5,5,5,5,5,5,10000000000,12345,8500012345,1000000000,200000000,200000000,500000000,10000012345,10000000000,0,8500012345,H carrier includes; H+1 producer reveals
31,32,carrier-censors-commitments,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..5,0,0,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H omission makes H+1 reveals ineligible
31,32,producer-censors-reveals,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..5,5,5,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H commits exist; H+1 producer omits reveals
31,32,carry-and-reveal-self-controlled,carrier-A,key-1023,producer-B,key-1024,producer-B,keys-1..5,5,5,5,5,5,10000000000,12345,8500012345,1000000000,200000000,200000000,500000000,10000012345,10000000000,0,9500012345,H+1 producer controls distinct share keys
31,32,carry-and-reveal-external,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..6,6,6,6,6,6,10000000000,12345,8500012349,999999996,166666666,166666666,500000000,10000012345,10000000000,0,8500012349,H carrier includes; H+1 producer reveals
31,32,carrier-censors-commitments,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..6,0,0,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H omission makes H+1 reveals ineligible
31,32,producer-censors-reveals,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..6,6,6,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H commits exist; H+1 producer omits reveals
31,32,carry-and-reveal-self-controlled,carrier-A,key-1023,producer-B,key-1024,producer-B,keys-1..6,6,6,6,6,6,10000000000,12345,8500012349,999999996,166666666,166666666,500000000,10000012345,10000000000,0,9500012345,H+1 producer controls distinct share keys
31,32,carry-and-reveal-external,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..7,7,7,7,7,7,10000000000,12345,8500012351,999999994,142857142,142857142,500000000,10000012345,10000000000,0,8500012351,H carrier includes; H+1 producer reveals
31,32,carrier-censors-commitments,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..7,0,0,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H omission makes H+1 reveals ineligible
31,32,producer-censors-reveals,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..7,7,7,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H commits exist; H+1 producer omits reveals
31,32,carry-and-reveal-self-controlled,carrier-A,key-1023,producer-B,key-1024,producer-B,keys-1..7,7,7,7,7,7,10000000000,12345,8500012351,999999994,142857142,142857142,500000000,10000012345,10000000000,0,9500012345,H+1 producer controls distinct share keys
31,32,carry-and-reveal-external,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..8,8,8,8,8,8,10000000000,12345,8500012345,1000000000,125000000,125000000,500000000,10000012345,10000000000,0,8500012345,H carrier includes; H+1 producer reveals
31,32,carrier-censors-commitments,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..8,0,0,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H omission makes H+1 reveals ineligible
31,32,producer-censors-reveals,carrier-A,key-1023,producer-B,key-1024,external-sharers,keys-1..8,8,8,0,0,0,10000000000,12345,8000012345,0,0,0,0,8000012345,8000000000,2000000000,8000012345,H commits exist; H+1 producer omits reveals
31,32,carry-and-reveal-self-controlled,carrier-A,key-1023,producer-B,key-1024,producer-B,keys-1..8,8,8,8,8,8,10000000000,12345,8500012345,1000000000,125000000,125000000,500000000,10000012345,10000000000,0,9500012345,H+1 producer controls distinct share keys
