height,winner,round_start_clock,candidate_timestamp,publish_clock,publish_offset,selection_rule,parent_chain_score,synthetic_par_bytes,producer_length_bytes,golf_savings,block_score,chain_score,sibling_observations_before_child,future_drift_rejections,higher_score_replacements,score_tie_observations,lower_score_observations,child_observed,observed_child_actor,observed_child_height,observed_child_arrival_clock,observed_child_chain_score,selected_tip_actor,selected_tip_height,selected_tip_chain_score,sibling_observations_after_child,mempool_before,transactions_included,transaction_bytes,block_utilization_permille,fees,scheduled_subsidy,producer_payout,total_coinbase,minted_subsidy,unminted_subsidy,censorship_observations,winner_censorship_observations,latency_mean_seconds,latency_max_seconds,mempool_after,pending_arrivals
1,fair-eager,1800000000,1800003600,1800003600,3600,strictly-taller-height,0,256,256,0,1,1,5,1,0,3,0,1,fair-eager,2,1800007200,2,fair-eager,2,2,0,5,5,12300,836,6850,100000000,80006850,80006850,80000000,20000000,1,0,2460,3500,0,0
2,fair-eager,1800003600,1800007200,1800007200,3600,strictly-taller-height,1,256,256,0,1,2,5,1,0,3,0,1,fair-eager,3,1800010800,3,fair-eager,3,3,0,5,5,12300,836,6900,100000000,80006900,80006900,80000000,20000000,1,0,2440,3500,0,0
3,fair-eager,1800007200,1800010800,1800010800,3600,strictly-taller-height,2,256,256,0,1,3,5,1,0,3,0,1,fair-eager,4,1800014400,4,fair-eager,4,4,0,9,6,14600,976,3250,100000000,80003250,80003250,80000000,20000000,1,0,2716,3500,3,0
4,fair-eager,1800010800,1800014400,1800014400,3600,strictly-taller-height,3,256,256,0,1,4,5,1,0,3,0,1,fair-eager,5,1800018000,5,fair-eager,5,5,0,8,7,12400,842,15250,100000000,80015250,80015250,80000000,20000000,2,0,3214,4500,1,0
5,fair-eager,1800014400,1800018000,1800018000,3600,strictly-taller-height,4,256,256,0,1,5,5,1,0,3,0,1,fair-eager,6,1800021600,6,fair-eager,6,6,0,6,5,12300,836,6900,100000000,80006900,80006900,80000000,20000000,1,0,3160,5900,1,0
6,fair-eager,1800018000,1800021600,1800021600,3600,strictly-taller-height,5,256,256,0,1,6,5,1,0,3,0,1,fair-eager,7,1800025200,7,fair-eager,7,7,0,10,6,14600,976,3250,100000000,80003250,80003250,80000000,20000000,1,0,3316,5900,4,0
7,fair-eager,1800021600,1800025200,1800025200,3600,strictly-taller-height,6,256,256,0,1,7,5,1,0,3,0,1,fair-eager,8,1800028800,8,fair-eager,8,8,0,9,7,12400,842,15250,100000000,80015250,80015250,80000000,20000000,2,0,3642,5900,2,0
8,fair-eager,1800025200,1800028800,1800028800,3600,strictly-taller-height,7,256,256,0,1,8,5,1,0,3,0,1,fair-eager,9,1800032400,9,fair-eager,9,9,0,7,5,12300,836,6900,100000000,80006900,80006900,80000000,20000000,1,0,3880,6500,2,0
9,fair-eager,1800028800,1800032400,1800032400,3600,strictly-taller-height,8,256,256,0,1,9,5,1,0,3,0,1,fair-eager,10,1800036000,10,fair-eager,10,10,0,11,6,14600,976,3250,100000000,80003250,80003250,80000000,20000000,1,0,3916,6500,5,0
10,fair-eager,1800032400,1800036000,1800036000,3600,strictly-taller-height,9,256,256,0,1,10,5,1,0,3,0,1,fair-eager,11,1800039600,11,fair-eager,11,11,0,10,6,14500,970,8500,100000000,80008500,80008500,80000000,20000000,2,0,4733,6500,4,0
11,fair-eager,1800036000,1800039600,1800039600,3600,strictly-taller-height,10,256,256,0,1,11,5,1,0,3,0,1,fair-eager,12,1800043200,12,fair-eager,12,12,0,9,7,13800,927,13650,100000000,80013650,80013650,80000000,20000000,2,0,4314,6700,2,0
12,fair-eager,1800039600,1800043200,1800043200,3600,strictly-taller-height,11,256,256,0,1,12,5,1,0,3,0,1,sentinel-child,13,1800046800,13,sentinel-child,13,13,0,11,6,14600,976,3300,100000000,80003300,80003300,80000000,20000000,1,0,3916,6500,5,0
