height,fees,share_count,consensus_feasible,scheduled_subsidy,contribution_profile,contribution_sum,producer_payout,min_share_payout,max_share_payout,share_payout_total,carrier_payout,total_minted,minted_subsidy,unminted_subsidy,scheduled_supply_cap
0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,2,0,0,1;2,3,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1;2;3,6,0,0,0,0,0,0,0,0,0
0,0,4,0,0,1;2;3;4,10,0,0,0,0,0,0,0,0,0
0,0,5,0,0,1;2;3;4;1,11,0,0,0,0,0,0,0,0,0
0,0,6,0,0,1;2;3;4;1;2,13,0,0,0,0,0,0,0,0,0
0,0,7,0,0,1;2;3;4;1;2;3,16,0,0,0,0,0,0,0,0,0
0,0,8,0,0,1;2;3;4;1;2;3;4,20,0,0,0,0,0,0,0,0,0
0,12345,0,0,0,-,0,12345,0,0,0,0,12345,0,0,0
0,12345,1,0,0,1,1,12345,0,0,0,0,12345,0,0,0
0,12345,2,0,0,1;2,3,12345,0,0,0,0,12345,0,0,0
0,12345,3,0,0,1;2;3,6,12345,0,0,0,0,12345,0,0,0
0,12345,4,0,0,1;2;3;4,10,12345,0,0,0,0,12345,0,0,0
0,12345,5,0,0,1;2;3;4;1,11,12345,0,0,0,0,12345,0,0,0
0,12345,6,0,0,1;2;3;4;1;2,13,12345,0,0,0,0,12345,0,0,0
0,12345,7,0,0,1;2;3;4;1;2;3,16,12345,0,0,0,0,12345,0,0,0
0,12345,8,0,0,1;2;3;4;1;2;3;4,20,12345,0,0,0,0,12345,0,0,0
1,0,0,1,100000000,-,0,80000000,0,0,0,0,80000000,80000000,20000000,100000000
1,0,1,1,100000000,1,1,85000000,10000000,10000000,10000000,5000000,100000000,100000000,0,100000000
1,0,2,1,100000000,1;2,3,85000001,3333333,6666666,9999999,5000000,100000000,100000000,0,100000000
1,0,3,1,100000000,1;2;3,6,85000001,1666666,5000000,9999999,5000000,100000000,100000000,0,100000000
1,0,4,1,100000000,1;2;3;4,10,85000000,1000000,4000000,10000000,5000000,100000000,100000000,0,100000000
