mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,0,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,0,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,0,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,0,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,0,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,0,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,0,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,0,1,16,0,none,3,6,69,30,0,30,30,22,55,82
global,0,1,255,0,none,3,7,80,30,0,30,38,22,55,82
global,0,1,256,0,none,3,7,66,25,0,25,43,34,55,82
global,0,1,512,1,no-digits,4,8,154,30,0,30,57,45,126,265
global,0,1,1024,2,no-quote,5,10,89,29,0,29,61,56,123,128
global,0,1,2560,4,builtin-cap,8,18,279,28,1,28,97,73,388,669
global,0,1,4095,6,small-literals,8,24,201,24,0,24,89,105,388,669
global,0,16,16,0,none,3,6,100,30,0,30,37,37,73,154
global,0,16,255,0,none,3,7,98,30,0,30,43,34,79,178
global,0,16,256,0,none,3,7,78,30,0,30,36,22,55,82
global,0,16,512,1,no-digits,4,8,154,30,0,30,57,45,126,265
global,0,16,1024,4,builtin-cap,5,10,119,25,0,25,71,56,142,204
global,0,16,2560,2,no-quote,8,18,176,41,0,41,129,89,297,305
global,0,16,4095,1,no-digits,8,24,298,24,0,24,89,105,388,669
global,0,255,16,0,none,3,6,98,24,0,24,34,40,73,154
global,0,255,255,0,none,3,7,102,30,0,30,43,34,79,178
global,0,255,256,0,none,3,7,90,27,0,27,43,34,67,130
global,0,255,512,0,none,4,8,99,30,0,30,43,29,94,137
global,0,255,1024,1,no-digits,5,10,172,29,0,29,61,86,172,324
global,0,255,2560,4,builtin-cap,8,18,246,27,0,27,113,89,372,605
global,0,255,4095,4,builtin-cap,8,24,197,25,1,25,113,89,340,477
global,0,4096,16,0,none,3,6,80,30,0,30,38,22,55,82
global,0,4096,255,0,none,3,7,89,30,0,30,44,22,55,82
global,0,4096,256,0,none,3,7,114,30,0,30,37,37,73,154
global,0,4096,512,3,letrec-required,4,8,119,54,0,54,81,85,118,177
global,0,4096,1024,2,no-quote,5,10,108,25,0,25,71,56,123,128
global,0,4096,2560,6,small-literals,8,18,249,30,0,30,97,97,388,669
global,0,4096,4095,2,no-quote,8,24,280,30,0,30,97,97,361,353
global,1,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,1,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,1,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,1,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,1,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,1,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,1,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,1,1,16,0,none,3,6,86,30,0,30,44,22,55,82
global,1,1,255,0,none,3,7,85,27,0,27,43,34,67,130
global,1,1,256,1,no-digits,3,7,109,30,0,30,37,37,73,154
global,1,1,512,0,none,4,8,124,30,0,30,49,49,118,233
global,1,1,1024,2,no-quote,5,10,124,30,1,30,60,36,123,128
global,1,1,2560,7,fold-required,8,18,276,49,0,49,145,225,436,757
global,1,1,4095,4,builtin-cap,8,24,270,27,0,27,89,105,388,669
global,1,16,16,0,none,3,6,111,27,0,27,34,40,73,154
global,1,16,255,0,none,3,7,101,28,0,28,37,28,73,154
global,1,16,256,0,none,3,7,89,27,0,27,43,34,67,130
global,1,16,512,3,letrec-required,4,8,152,56,0,56,81,85,134,241
global,1,16,1024,6,small-literals,5,10,202,30,0,30,71,56,182,364
global,1,16,2560,2,no-quote,8,18,236,35,0,35,127,73,297,305
global,1,16,4095,2,no-quote,8,24,312,28,0,28,97,73,377,353
global,1,255,16,0,none,3,6,65,25,0,25,43,34,55,82
global,1,255,255,0,none,3,7,99,30,0,30,43,34,79,178
global,1,255,256,0,none,3,7,78,30,0,30,38,22,55,82
global,1,255,512,1,no-digits,4,8,143,27,0,27,45,53,118,233
global,1,255,1024,7,fold-required,5,10,142,49,0,49,101,111,172,259
global,1,255,2560,6,small-literals,8,18,229,30,0,30,101,57,340,477
global,1,255,4095,7,fold-required,8,24,215,65,0,65,177,177,388,565
global,1,4096,16,0,none,3,6,85,27,0,27,43,34,67,130
global,1,4096,255,0,none,3,7,88,27,0,27,43,34,67,130
global,1,4096,256,0,none,3,7,86,30,0,30,44,22,55,82
global,1,4096,512,3,letrec-required,4,8,120,54,0,54,81,85,118,177
global,1,4096,1024,1,no-digits,5,10,184,28,0,28,61,46,172,324
global,1,4096,2560,1,no-digits,8,18,240,28,0,28,97,137,388,669
global,1,4096,4095,7,fold-required,8,24,269,62,0,62,177,337,436,757
global,2,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,2,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,2,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,2,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,2,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,2,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
