key_index,pubkey,candidate_available,par,known_solution_bytes,margin_milli,contribution,validation_steps,validation_allocations,retries,constraint_id,k,width,maximum_commitment16,maximum_reveal8
1,0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,1,112,110,17,1,42,28,0,0,3,6,0,0
2,02c6047f9441ed7d6d3045406e95c07cd85c778e4b8cef3ca7abac09b95c709ee5,0,115,0,0,0,0,0,0,0,3,6,0,0
3,02f9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9,1,108,106,18,1,46,32,0,0,3,6,0,0
4,02e493dbf1c10d80f3581e4904930b1404cc6c13900ee0758474fa94abe8c4cd13,1,108,106,18,1,46,32,0,0,3,6,0,0
5,022f8bde4d1a07209355b4a7250a5c5128e88b84bddc619ab7cba8d569b240efe4,1,114,112,17,1,42,34,0,0,3,6,0,0
6,03fff97bd5755eeea420453a14355235d382f6472f8568a18b2f057a1460297556,1,112,110,17,1,42,28,0,0,3,6,0,0
7,025cbdf0646e5db4eaa398f365f2ea7a0e3d419b7e0330e39ce92bddedcac4f9bc,1,111,109,18,1,46,32,0,0,3,6,0,0
8,022f01e5e15cca351daff3843fb70f3c2f0a1bdd05e5af888a67784ef3e10a2a01,0,115,0,0,0,0,0,0,0,3,6,0,0
9,03acd484e2f0c7f65309ad178a9f559abde09796974c57e714c35f110dfc27ccbe,0,115,0,0,0,0,0,0,0,3,6,0,0
10,03a0434d9e47f3c86235477c7b1ae6ae5d3442d49b1943c2b752a68e2a47e247c7,1,114,112,17,1,42,34,0,0,3,6,0,0
11,03774ae7f858a9411e5ef4246b70c65aac5649980be5c17891bbec17895da008cb,1,110,108,18,1,40,36,0,0,3,6,0,0
12,03d01115d548e7561b15c38f004d734633687cf4419620095bc5b0f47070afe85a,1,111,109,18,1,40,36,0,0,3,6,0,0
13,03f28773c2d975288bc7d1d205c3748651b075fbc6610e58cddeeddf8f19405aa8,1,114,112,17,1,42,34,0,0,3,6,0,0
14,03499fdf9e895e719cfd64e67f07d38e3226aa7b63678949e6e49b241a60e823e4,1,114,112,17,1,42,34,0,0,3,6,0,0
15,02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e,0,108,0,0,0,0,0,0,0,3,6,0,0
16,03e60fce93b59e9ec53011aabc21c23e97b2a31369b87a5ae9c44ee89e2a6dec0a,1,107,105,18,1,46,32,0,0,3,6,0,0
17,03defdea4cdb677750a420fee807eacf21eb9898ae79b9768766e4faa04a2d4a34,1,111,109,18,1,46,32,0,0,3,6,0,0
18,025601570cb47f238d2b0286db4a990fa0f3ba28d1a319f5e7cf55c2a2444da7cc,1,108,106,18,1,46,32,0,0,3,6,0,0
19,022b4ea0a797a443d293ef5cff444f4979f06acfebd7e86d277475656138385b6c,1,112,110,17,1,42,28,0,0,3,6,0,0
20,024ce119c96e2fa357200b559b2f7dd5a5f02d5290aff74b03f3e471b273211c97,1,108,106,18,1,46,32,0,0,3,6,0,0
21,02352bbf4a4cdd12564f93fa332ce333301d9ad40271f8107181340aef25be59d5,1,108,106,18,1,46,32,0,0,3,6,0,0
22,03421f5fc9a21065445c96fdb91c0c1e2f2431741c72713b4b99ddcb316f31e9fc,0,115,0,0,0,0,0,0,0,3,6,0,0
23,032fa2104d6b38d11b0230010559879124e42ab8dfeff5ff29dc9cdadd4ecacc3f,1,111,109,18,1,46,32,0,0,3,6,0,0
24,03fe72c435413d33d48ac09c9161ba8b09683215439d62b7940502bda8b202e6ce,1,108,106,18,1,46,32,0,0,3,6,0,0
25,029248279b09b4d68dab21a9b066edda83263c3d84e09572e269ca0cd7f5453714,1,112,110,17,1,40,36,0,0,3,6,0,0
26,026687cdb5b650d558f40cbdefc8e40997c03fe1b2abb840885e5cad81710c4c8a,1,111,109,18,1,46,32,0,0,3,6,0,0
27,03daed4f2be3a8bf278e70132fb0beb7522f570e144bf615c07e996d443dee8729,1,112,110,17,1,42,28,0,0,3,6,0,0
28,0255eb67d7b7238a70a7fa6f64d5dc3c826b31536da6eb344dc39a66f904f97968,1,111,109,18,1,46,32,0,0,3,6,0,0
29,02c44d12c7065d812e8acf28d7cbb19f9011ecd9e9fdf281b0e6a3b5e87d22e7db,1,108,106,18,1,46,32,0,0,3,6,0,0
30,036d2b085e9e382ed10b69fc311a03f8641ccfff21574de0927513a49d9a688a00,1,108,106,18,1,46,32,0,0,3,6,0,0
31,026a245bf6dc698504c89a20cfded60853152b695336c28063b61c65cbd269e6b4,1,112,110,17,1,42,28,0,0,3,6,0,0
32,03d30199d74fb5a22d47b6e054e2f378cedacffcb89904a61d75d0dbd407143e65,0,115,0,0,0,0,0,0,0,3,6,0,0
33,021697ffa6fd9de627c077e3d2fe541084ce13300b0bec1146f95ae57f0d0bd6a5,0,114,0,0,0,0,0,0,0,3,6,0,0
34,031be68a5a028f2601d0e80d468c344ba331d611b96c358b6032e8b4da0547fc11,1,112,110,17,1,42,28,0,0,3,6,0,0
35,03605bdb019981718b986d0f07e834cb0d9deb8360ffb7f61df982345ef27a7479,1,108,106,18,1,46,32,0,0,3,6,0,0
36,02e0392cfa338aaf2f0b56c563e3e5e67a5d5fefe3388f85d90c899da20f0198f9,1,111,109,18,1,46,32,0,0,3,6,0,0
37,0362d14dab4150bf497402fdc45a215e10dcb01c354959b10cfe31c7e9d87ff33d,1,111,109,18,1,46,32,0,0,3,6,0,0
38,02b699a30e6e184cdfa88ac16c7d80bffd38e2e1fc705821ea69cd5fdf1691fff7,0,115,0,0,0,0,0,0,0,3,6,0,0
39,0280c60ad0040f27dade5b4b06c408e56b2c50e9f56b9b8b425e555c2f86308b6f,1,111,109,18,1,46,32,0,0,3,6,0,0
40,0391de2f6bb67b11139f0e21203041bf080eacf59a33d99cd9f1929141bb0b4d0b,1,111,109,18,1,40,36,0,0,3,6,0,0
41,037a9375ad6167ad54aa74c6348cc54d344cc5dc9487d847049d5eabb0fa03c8fb,1,111,109,18,1,46,32,0,0,3,6,0,0
42,02fe8d1eb1bcb3432b1db5833ff5f2226d9cb5e65cee430558c18ed3a3c86ce1af,1,111,109,18,1,46,32,0,0,3,6,0,0
43,03d528ecd9b696b54c907a9ed045447a79bb408ec39b68df504bb51f459bc3ffc9,1,111,109,18,1,40,36,0,0,3,6,0,0
44,025d045857332d5b9e541514731622af8d60c180165d971a61e06b70a9b3834765,0,115,0,0,0,0,0,0,0,3,6,0,0
45,02049370a4b5f43412ea25f514e8ecdad05266115e4a7ecb1387231808f8b45963,0,115,0,0,0,0,0,0,0,3,6,0,0
46,03f8b0b03d44112259f903b3d100e3950d980fdde9c7e85701c16baedc90235717,1,111,109,18,1,40,36,0,0,3,6,0,0
47,0277f230936ee88cbbd73df930d64702ef881d811e0e1498e2f1c13eb1fc345d74,1,111,109,18,1,46,32,0,0,3,6,0,0
48,026eca335d9645307db441656ef4e65b4bfc579b27452bebc19bd870aa1118e5c3,1,114,112,17,1,42,34,0,0,3,6,0,0
49,03f2dac991cc4ce4b9ea44887e5c7c0bce58c80074ab9d4dbaeb28531b7739f530,1,109,107,18,1,40,36,0,0,3,6,0,0
50,0229757774cc6f3be1d5f1774aefa8f02e50bc64404230e7a67e8fde79bd559a9a,0,109,0,0,0,0,0,0,0,3,6,0,0
51,02463b3d9f662621fb1b4be8fbbe2520125a216cdfc9dae3debcba4850c690d45b,1,112,110,17,1,42,28,0,0,3,6,0,0
52,032b22efda32491a9e0294339ca3da761f7d36cfc8814c1b29ca731921025ff695,0,115,0,0,0,0,0,0,0,3,6,0,0
53,02f16f804244e46e2a09232d4aff3b59976b98fac14328a2d1a32496b49998f247,1,111,109,18,1,46,32,0,0,3,6,0,0
