key_pool,strategy,candidates_evaluated,candidates_available,commitments_selected,reveals_selected,original_share_quality,copy_share_quality,producer_par,original_producer_bytes,copy_producer_bytes,original_producer_savings,copy_producer_savings,original_block_score,copy_block_score,parent_chain_score,original_chain_score,copy_chain_score,child_block_score,child_chain_score,copy_replaces_before_child,copy_replaces_after_child,original_arrival_clock,pre_child_copy_arrival_clock,child_height,child_arrival_clock,post_child_copy_arrival_clock,child_observed,selected_actor,selected_chain_score,original_solver_capture_permille,reveal_inclusion_permille,top_share_payout,top_share_payout_permille,payout_hhi_million,scheduled_subsidy,fees,hypothetical_copy_producer_payout,hypothetical_copy_share_payout,hypothetical_copy_carrier_payout,hypothetical_attacker_payout,hypothetical_total_coinbase,hypothetical_unminted_subsidy,original_no_share_payout,selected_original_payout,selected_attacker_payout,selected_carrier_payout,selected_total_coinbase,selected_unminted_subsidy
0,none,0,0,0,0,0,0,26,26,26,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,0,0,0,0,10000000000,12345,8000012345,0,0,8000012345,8000012345,2000000000,8000012345,8000012345,0,0,8000012345,2000000000
0,minimum-quality,0,0,0,0,0,0,26,26,26,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,0,0,0,0,10000000000,12345,8000012345,0,0,8000012345,8000012345,2000000000,8000012345,8000012345,0,0,8000012345,2000000000
0,maximum-quality,0,0,0,0,0,0,26,26,26,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,0,0,0,0,10000000000,12345,8000012345,0,0,8000012345,8000012345,2000000000,8000012345,8000012345,0,0,8000012345,2000000000
1,none,1,1,0,0,0,0,26,26,26,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,0,0,0,0,10000000000,12345,8000012345,0,0,8000012345,8000012345,2000000000,8000012345,8000012345,0,0,8000012345,2000000000
1,minimum-quality,1,1,1,1,0,1,26,26,26,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,1000,1000000000,1000,1000000,10000000000,12345,8500012345,1000000000,500000000,9500012345,10000012345,0,8000012345,8000012345,0,0,8000012345,2000000000
1,maximum-quality,1,1,1,1,0,1,26,26,26,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,1000,1000000000,1000,1000000,10000000000,12345,8500012345,1000000000,500000000,9500012345,10000012345,0,8000012345,8000012345,0,0,8000012345,2000000000
8,none,8,4,0,0,0,0,26,26,26,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,0,0,0,0,10000000000,12345,8000012345,0,0,8000012345,8000012345,2000000000,8000012345,8000012345,0,0,8000012345,2000000000
8,minimum-quality,8,4,1,1,0,1,29,29,29,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,250,1000000000,1000,1000000,10000000000,12345,8500012345,1000000000,500000000,9500012345,10000012345,0,8000012345,8000012345,0,0,8000012345,2000000000
8,maximum-quality,8,4,4,4,0,4,27,27,27,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,1000,250000000,250,250000,10000000000,12345,8500012345,1000000000,500000000,9500012345,10000012345,0,8000012345,8000012345,0,0,8000012345,2000000000
16,none,16,8,0,0,0,0,26,26,26,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,0,0,0,0,10000000000,12345,8000012345,0,0,8000012345,8000012345,2000000000,8000012345,8000012345,0,0,8000012345,2000000000
16,minimum-quality,16,8,1,1,0,1,29,29,29,0,0,1,1,31,32,32,1,33,0,0,1800003600,1800003660,33,1800007200,1800007260,1,original-solver,33,1000,125,1000000000,1000,1000000,10000000000,12345,8500012345,1000000000,500000000,9500012345,10000012345,0,8000012345,8000012345,0,0,8000012345,2000000000
